text,true_intent,pred_intent
"저, 알람이 안와서 그러는데요. 어떻게 해야해요?",문자 알람,SMS문자서비스
네. 그건 어떻게 되나요?,해외송금,보험보상청구
다른 서류는 필요없어요?,통장 분실,대출서비스
실손있어요.,종신보험 가입,보험금청구
설명을 부탁드릴려구요,요양급여,보험 변경
아~그렇군요.,자동차보험보상,인터넷뱅킹
증권 확인을 모바일로 할수 있나요?,사고보상,보험가입
그 다음은요?,네이버영수증리뷰,인터넷 뱅킹 이체 문의
헬스케어서비스가 있던데 그것도 보험에서 보상해주는 그런건가요?,헬스케어서비스,질병상해보험
네.,잔고,거래내역
대출신청은 어떻게 해요?,보험계약대출,대출서비스
ATM도 출금한도가 있나요?,ATM출금,출금
"네, 맞습니다.",영문무사고증명서,잔고
왜 이런상품을 권했을까요?,보험가입만료,보험가입
그럼 수수료는 얼마나 다른데요?,출금수수료,인터넷뱅킹
지급사유에 따라 보험금이 달라지나요?,간병비보험,보험금청구
네,미성년자통장개설,거래내역
그럼 어떻게 되요?,보험금청구,보험금 청구
예금자보호는 되나요?,보험해지환급금,상품가입
어떤 계좌들을 확인할 수 있죠?,전체 금융계좌 조회,거래내역조회
그동안 4대보험료를 전액 근로자인 제가 부담해온 것 같습니다. 어떻게 해야 하나요?,4대보험료 부당 납입,공시가문의
산재보험은 뭐지요?,4대 보험 가입내역서,산재보험
혹시 카드포인드로 지방세 납부할수있나요?,지방세신용카드납부,이용대금납부
핸드폰이 지금 100만원이 넘는데 고작 20만원이요?,휴대품분실,보험금 청구
그렇군요.,"질병,상해 보상문의",거래내역
네.,잔고,거래내역
왜그런가요?,잔고,상품가입
저는 정기예금 통장이 있는데 그럼 긴급출금 서비스를 받을수 있네요?,출금서비스,대출서비스
그러면 언제 돈이 나가나요?,이체 서비스,이체
오잉 두 배로 받는 게 아닌가요?,실손의료보험중복가입,대출 상담
먼저 수리하고 보험청구 하려고 하는데 가능한가요?,일상생활배상책임보험,자동차보험보상
제가 주재근무를 해서 과거 4년간 국내 소득이 저조한데 괜찮을까요?,비대면 대출한도,퇴직연금
인터넷뱅킹 가입을 안했는데요?,상품 가입 및 해지,거래내역
합하면 5천이 넘는데.,예금자보호법,대출 상담
등록가능한 공과금이 무엇인가요?,이체 서비스,우리은행
그러면 해외에서는 이체한도를 올릴 수 없는 건가요?,인터넷뱅킹,이체
OOOOOO입니다.,출금,상해질병청구
아닙니다. 해결됐습니다.,잔고내역,거래내역
차명계좌요?,금융실명제,우리은행
아니요. 없습니다.,잔고내역,질병/상해청구
아그런게 있었군요,거래내역조회,실손보상
제 잔고가 얼마나 되나요?,잔고사용문의,잔고조회
발급방법은 뭐가 있나요?,카카오뱅크 거래내역,잔액증명서
발급수수료가 있나요?,예금잔액증명서,잔액증명서
제가 아무것도 몰라요,보험 가입,통장 개설
통장을 추가 개설 하려고 하는데요.,예금가입,통장 개설
12대 중과실에 대해 보장한다고 하는데 어떤걸 말하나요?,운전자보험,가해자불명사고
국민임대  청약통장 없어도 되나해서요,주택청약,주택청약저축
오랫동안 사용하지 않은 통장의 잔고를 확인해 볼 수 있을까요?,휴면계좌 잔고 조회,거래내역조회
네.,통장개설,거래내역
본인의 신용등급이 7등급인데 대출이 가능 할까요?,신용등급 대출 문의,개인신용등급
그럼 규정이 바뀌기전 보험은 얼마나 보상 받을 수 있는건가요?,중복보장문의,자동차사고문의
상품개발부서  전화번호가 있나요?,보험증서,보험가입
네.맞습니다.,분실사고,질병/상해청구
O월 O일 이후 입금내역은 총 얼마입니까?,잔고 조회,잔고 및 거래내역
000 본인맞습니까?,보험증권,보험금 청구
확실히 그런건가요?,적금자동이체,자동차보험
제가 20년납 100세 만기잖아요?,보험료납입면제,보험해지
그러면 바로 쓸수 있나요?,잔액조회,이체
해외송금 거래내역 조회해주세요.,거래내역,잔고 및 거래내역
사고 발생하면 어느 경우에 손해사정사에 의한 조사를 받게 되나요?,자동차사고보험청구,자동차보험
당뇨약은 아직 안 먹고 있어도 제한적인가요?,종신보험가입,보험가입
어디서 하나요?,경찰공무원 대출,이체
4시까지 가면 되는거죠?,미성년자거래내역문의,통장 해지
안녕하세요 제가 수술을 해야하는데요 보험에 관련해서 몇가지 궁금한게 있어서요?,상해보험청구,보험금청구
네. 어플 설치 했습니다,보험금 청구,거래내역
네. 본인입니다.,잔고및거래내역,분실사고
네.했어요.,대출서비스,이체서비스
실명확인을 해야하는건가요?,통장 개설,상품가입
"아직 서툴러서 잘 모르겠네요, 자세하게 알려주세요.",송금계좌번호조회,체크카드발급
아 그럼 괜히 돈을 냈네요,카드포인트,보상문의
이혼한 배우자의 노령연금을 나눠 받을 수 있을까요?,연금보험/가입문의,연금상품/가입문의
세번째는요?,외국인가입,자동차보험
기가입자는 30%인가요?,두루누리 사회보험,이체출금대출서비스
그래요?,급여통장 이체 수수료,보험금 청구
그렇군요 그럼 경계성종양은 무엇인가요?,보험해지,암보험
네. 그렇게 해주세요.,통장개설,해지
네.수고하세요.,치과보험보상,이체서비스
통장을 만들고 싶은데 어떻게 해야되나요?,통장개설,통장 개설
"네, 자가예요.",화재보험가입,대출 상담
